Model #, Price, Date
Q4800-1T00003R,2022-04-26,2383.0
QA00-1M000000-U,2022-04-26,1131.67
QA40-1M000000,2022-04-26,1465.0
QA40-1M000003,2022-04-26,1631.0
QA40-1T000000,2022-04-26,1725.0
XT8650-S2,2022-04-26,1295.0
XT8650-IMG2,2022-04-26,1590.0
1BS99UT#ABA,2022-04-26,2548.07
1FY84UT#ABA,2022-04-26,1136.11
3RF15UT#ABA,2022-04-26,2351.96
3WD97UT#ABA,2022-04-26,2652.64
4AC92UT#ABA,2022-04-26,855.01
4BW88UT#ABA,2022-04-26,789.64
4CG78UT#ABA,2022-04-26,894.24
4FZ38UT#ABA,2022-04-26,1051.12
4FZ39UT#ABA,2022-04-26,985.75
4HJ10UT#ABA,2022-04-26,998.83
4HJ75UT#ABA,2022-04-26,1103.42
T3-E14415-A1-DNU,2022-04-26,924.24
T3-E14415-A2-DNU,2022-04-26,1051.14
Q4031-1TADH003,2022-04-26,2538.89
Q40Q1-1MATK000,2022-04-26,2322.23
QA00-A200H000,2022-04-26,1081.49
QA21-1MAQH000,2022-04-26,1515.0
MK1-E144A5-A5,2022-04-26,1842.09
QD2-C123D5-44,2022-04-26,1076.32
T3-E14415-A6,2022-04-26,1394.77
Q4831-1TAMH000,2022-04-26,2703.0
Q4860-1M00000C,2022-04-26,2163.0
QA21-1MAMH000,2022-04-26,1430.0
QA71-1MADH000,2022-04-26,1928.0
QB00-1M000000,2022-04-26,1280.0
Comark8A2,2022-04-26,1328.95
Comark8B2,2022-04-26,1364.47
Comark8C2,2022-04-26,1500.0
Comark8D2,2022-04-26,1534.21
Comark8E2,2022-04-26,1771.05
Comark8F2,2022-04-26,1806.58
Comark8G2,2022-04-26,1771.05
Comark8H2,2022-04-26,1500.0
Comark8I2,2022-04-26,1601.32
Comark10A2,2022-04-26,1463.16
Comark10B2,2022-04-26,1498.68
Comark10C2,2022-04-26,1552.63
Comark10D2,2022-04-26,1586.84
Comark10E2,2022-04-26,1769.74
Comark10F2,2022-04-26,1857.89
Comark10G2,2022-04-26,1905.26
Comark10I2,2022-04-26,1735.53
Comark10J2,2022-04-26,1634.21
Comark10K2,2022-04-26,1940.79
310CR-10P10,2022-04-26,1210.0
380CR-10B-384,2022-04-26,1082.0
PMT-808-08862B,2022-04-26,1117.2
UM3W000000300,2022-04-26,1598.0
UM3W000001300,2022-04-26,1773.0
UM3W000010300,2022-04-26,1713.0
UM3W000020300,2022-04-26,1691.0
UM3W000100300,2022-04-26,1695.0
UM3W000101300,2022-04-26,1870.0
UM3W000110300,2022-04-26,1809.0
UM3W000120300,2022-04-26,1788.0
UM3W002100300,2022-04-26,1916.0
UM3W002101300,2022-04-26,2092.0
UM3W002120300,2022-04-26,2010.0
Q4000-1T000003,2022-04-26,1875.0
Q4810-1T000000,2022-04-26,2070.0
QA00-A200K00N,2022-04-26,1132.0
QB10-1M000000,2022-04-26,1680.0
QB10-1M00000P,2022-04-26,1763.0
17-A1B4-1231/22111100,2022-04-26,8867.37
LI-Q40P1-1MAWH000-NCC03,2022-04-26,1857.0
Q4012-A2000000,2022-04-26,1662.97
Q4021-1MTIH000,2022-04-26,1663.0
Q4031-1MTJH000,2022-04-26,1995.0
Q4031-1MTJK000,2022-04-26,1995.0
